Date,^HSI
2017-01-16,22885.91015625
2017-01-23,23360.779296875
2017-01-30,23129.2109375
2017-02-06,23574.98046875
2017-02-13,24033.740234375
2017-02-20,23965.69921875
2017-02-27,23552.720703125
2017-03-06,23568.669921875
2017-03-13,24309.9296875
2017-03-20,24358.26953125
2017-03-27,24111.58984375
2017-04-03,24267.30078125
2017-04-10,24261.66015625
2017-04-17,24042.01953125
2017-04-24,24615.130859375
2017-05-01,24476.349609375
2017-05-08,25156.33984375
2017-05-15,25174.869140625
2017-05-22,25639.26953125
2017-05-29,25924.05078125
2017-06-05,26030.2890625
2017-06-12,25626.490234375
2017-06-19,25670.05078125
2017-06-26,25764.580078125
2017-07-03,25340.849609375
2017-07-10,26389.23046875
2017-07-17,26706.08984375
2017-07-24,26979.390625
2017-07-31,27562.6796875
2017-08-07,26883.509765625
2017-08-14,27047.5703125
2017-08-21,27848.16015625
2017-08-28,27953.16015625
2017-09-04,27668.470703125
2017-09-11,27807.58984375
2017-09-18,27880.529296875
2017-09-25,27554.30078125
2017-10-02,28458.0390625
2017-10-09,28476.4296875
2017-10-16,28487.240234375
2017-10-23,28438.849609375
2017-10-30,28603.609375
2017-11-06,29120.919921875
2017-11-13,29199.0390625
2017-11-20,29866.3203125
2017-11-27,29074.240234375
2017-12-04,28639.849609375
2017-12-11,28848.109375
2017-12-18,29578.009765625
2017-12-25,29919.150390625
2018-01-01,30814.640625
2018-01-08,31412.5390625
2018-01-15,32254.890625
2018-01-22,33154.12109375
2018-01-29,32601.779296875
2018-02-05,29507.419921875
2018-02-12,31115.4296875
2018-02-19,31267.169921875
2018-02-26,30583.44921875
2018-03-05,30996.2109375
2018-03-12,31501.970703125
2018-03-19,30309.2890625
2018-03-26,30093.380859375
2018-04-02,29844.939453125
2018-04-09,30808.380859375
2018-04-16,30418.330078125
2018-04-23,30280.669921875
2018-04-30,29926.5
2018-05-07,31122.060546875
2018-05-14,31047.91015625
2018-05-21,30588.0390625
2018-05-28,30492.91015625
2018-06-04,30958.2109375
2018-06-11,30309.490234375
2018-06-18,29338.69921875
2018-06-25,28955.109375
2018-07-02,28315.619140625
2018-07-09,28525.439453125
2018-07-16,28224.48046875
2018-07-23,28804.279296875
2018-07-30,27676.3203125
2018-08-06,28366.619140625
2018-08-13,27213.41015625
2018-08-20,27671.869140625
2018-08-27,27888.55078125
2018-09-03,26973.470703125
2018-09-10,27286.41015625
2018-09-17,27953.580078125
2018-09-24,27788.51953125
2018-10-01,26572.5703125
2018-10-08,25801.490234375
2018-10-15,25561.400390625
2018-10-22,24717.630859375
2018-10-29,26486.349609375
2018-11-05,25601.919921875
