date,cpi
2022-02-05,284.535
2022-02-06,284.535
2022-02-07,284.535
2022-02-08,284.535
2022-02-09,284.535
2022-02-10,284.535
2022-02-11,284.535
2022-02-12,284.535
2022-02-13,284.535
2022-02-14,284.535
2022-02-15,284.535
2022-02-16,284.535
2022-02-17,284.535
2022-02-18,284.535
2022-02-19,284.535
2022-02-20,284.535
2022-02-21,284.535
2022-02-22,284.535
2022-02-23,284.535
2022-02-24,284.535
2022-02-25,284.535
2022-02-26,284.535
2022-02-27,284.535
2022-02-28,284.535
2022-03-01,287.553
2022-03-02,287.553
2022-03-03,287.553
2022-03-04,287.553
2022-03-05,287.553
2022-03-06,287.553
2022-03-07,287.553
2022-03-08,287.553
2022-03-09,287.553
2022-03-10,287.553
2022-03-11,287.553
2022-03-12,287.553
2022-03-13,287.553
2022-03-14,287.553
2022-03-15,287.553
2022-03-16,287.553
2022-03-17,287.553
2022-03-18,287.553
2022-03-19,287.553
2022-03-20,287.553
2022-03-21,287.553
2022-03-22,287.553
2022-03-23,287.553
2022-03-24,287.553
2022-03-25,287.553
2022-03-26,287.553
2022-03-27,287.553
2022-03-28,287.553
2022-03-29,287.553
2022-03-30,287.553
2022-03-31,287.553
2022-04-01,288.764
2022-04-02,288.764
2022-04-03,288.764
2022-04-04,288.764
2022-04-05,288.764
2022-04-06,288.764
2022-04-07,288.764
2022-04-08,288.764
2022-04-09,288.764
2022-04-10,288.764
2022-04-11,288.764
2022-04-12,288.764
2022-04-13,288.764
2022-04-14,288.764
2022-04-15,288.764
2022-04-16,288.764
2022-04-17,288.764
2022-04-18,288.764
2022-04-19,288.764
2022-04-20,288.764
2022-04-21,288.764
2022-04-22,288.764
2022-04-23,288.764
2022-04-24,288.764
2022-04-25,288.764
2022-04-26,288.764
2022-04-27,288.764
2022-04-28,288.764
2022-04-29,288.764
2022-04-30,288.764
2022-05-01,291.359
2022-05-02,291.359
2022-05-03,291.359
2022-05-04,291.359
2022-05-05,291.359
2022-05-06,291.359
2022-05-07,291.359
2022-05-08,291.359
2022-05-09,291.359
2022-05-10,291.359
2022-05-11,291.359
2022-05-12,291.359
2022-05-13,291.359
2022-05-14,291.359
2022-05-15,291.359
2022-05-16,291.359
2022-05-17,291.359
2022-05-18,291.359
2022-05-19,291.359
2022-05-20,291.359
2022-05-21,291.359
2022-05-22,291.359
2022-05-23,291.359
2022-05-24,291.359
2022-05-25,291.359
2022-05-26,291.359
2022-05-27,291.359
2022-05-28,291.359
2022-05-29,291.359
2022-05-30,291.359
2022-05-31,291.359
2022-06-01,294.996
2022-06-02,294.996
2022-06-03,294.996
2022-06-04,294.996
2022-06-05,294.996
2022-06-06,294.996
2022-06-07,294.996
2022-06-08,294.996
2022-06-09,294.996
2022-06-10,294.996
2022-06-11,294.996
2022-06-12,294.996
2022-06-13,294.996
2022-06-14,294.996
2022-06-15,294.996
2022-06-16,294.996
2022-06-17,294.996
2022-06-18,294.996
2022-06-19,294.996
2022-06-20,294.996
2022-06-21,294.996
2022-06-22,294.996
2022-06-23,294.996
2022-06-24,294.996
2022-06-25,294.996
2022-06-26,294.996
2022-06-27,294.996
2022-06-28,294.996
2022-06-29,294.996
2022-06-30,294.996
2022-07-01,294.977
2022-07-02,294.977
2022-07-03,294.977
2022-07-04,294.977
2022-07-05,294.977
2022-07-06,294.977
2022-07-07,294.977
2022-07-08,294.977
2022-07-09,294.977
2022-07-10,294.977
2022-07-11,294.977
2022-07-12,294.977
2022-07-13,294.977
2022-07-14,294.977
2022-07-15,294.977
2022-07-16,294.977
2022-07-17,294.977
2022-07-18,294.977
2022-07-19,294.977
2022-07-20,294.977
2022-07-21,294.977
2022-07-22,294.977
2022-07-23,294.977
2022-07-24,294.977
2022-07-25,294.977
2022-07-26,294.977
2022-07-27,294.977
2022-07-28,294.977
2022-07-29,294.977
2022-07-30,294.977
2022-07-31,294.977
2022-08-01,295.209
2022-08-02,295.209
2022-08-03,295.209
2022-08-04,295.209
2022-08-05,295.209
2022-08-06,295.209
2022-08-07,295.209
2022-08-08,295.209
2022-08-09,295.209
2022-08-10,295.209
2022-08-11,295.209
2022-08-12,295.209
2022-08-13,295.209
2022-08-14,295.209
2022-08-15,295.209
2022-08-16,295.209
2022-08-17,295.209
2022-08-18,295.209
2022-08-19,295.209
2022-08-20,295.209
2022-08-21,295.209
2022-08-22,295.209
2022-08-23,295.209
2022-08-24,295.209
2022-08-25,295.209
2022-08-26,295.209
2022-08-27,295.209
2022-08-28,295.209
2022-08-29,295.209
2022-08-30,295.209
2022-08-31,295.209
2022-09-01,296.341
2022-09-02,296.341
2022-09-03,296.341
2022-09-04,296.341
2022-09-05,296.341
2022-09-06,296.341
2022-09-07,296.341
